TimeStamp,NYA_DCS_G6710A_TotalKVAR,HEALTH
2022-01-08 06:00:00+07:00,32.74,100.0
2022-01-08 07:00:00+07:00,33.75,100.0
2022-01-08 08:00:00+07:00,35.33,100.0
2022-01-08 09:00:00+07:00,34.12,100.0
2022-01-08 10:00:00+07:00,33.07,100.0
2022-01-08 11:00:00+07:00,34.17,100.0
2022-01-08 12:00:00+07:00,32.4,100.0
2022-01-08 13:00:00+07:00,31.35,100.0
2022-01-08 14:00:00+07:00,33.78,100.0
2022-01-08 16:00:00+07:00,33.93,100.0
2022-01-08 17:00:00+07:00,32.79,100.0
2022-01-08 18:00:00+07:00,33.97,100.0
2022-01-08 19:00:00+07:00,32.63,100.0
2022-01-08 20:00:00+07:00,31.66,100.0
2022-01-08 21:00:00+07:00,31.09,100.0
2022-01-08 22:00:00+07:00,31.7,100.0
2022-01-08 23:00:00+07:00,33.18,100.0
2022-01-09 00:00:00+07:00,35.43,100.0
2022-01-09 01:00:00+07:00,32.98,100.0
2022-01-09 02:00:00+07:00,31.39,100.0
2022-01-09 03:00:00+07:00,32.5,100.0
2022-01-09 04:00:00+07:00,31.28,100.0
2022-01-09 05:00:00+07:00,32.33,100.0
2022-01-09 06:00:00+07:00,34.64,100.0
2022-01-09 07:00:00+07:00,32.45,100.0
2022-01-09 08:00:00+07:00,34.44,100.0
2022-01-09 09:00:00+07:00,32.72,100.0
2022-01-09 10:00:00+07:00,29.7,100.0
2022-01-09 11:00:00+07:00,31.81,100.0
2022-01-09 12:00:00+07:00,33.86,100.0
2022-01-09 13:00:00+07:00,33.4,100.0
2022-01-09 14:00:00+07:00,31.26,100.0
2022-01-09 15:00:00+07:00,34.02,100.0
2022-01-09 16:00:00+07:00,33.14,100.0
2022-01-09 17:00:00+07:00,31.06,100.0
2022-01-09 18:00:00+07:00,34.44,100.0
2022-01-09 19:00:00+07:00,35.42,100.0
2022-01-09 20:00:00+07:00,32.08,100.0
2022-01-09 21:00:00+07:00,31.17,100.0
2022-01-09 22:00:00+07:00,32.91,100.0
2022-01-09 23:00:00+07:00,33.69,100.0
2022-01-10 00:00:00+07:00,33.63,100.0
2022-01-10 01:00:00+07:00,36.38,100.0
2022-01-10 02:00:00+07:00,30.58,100.0
2022-01-10 03:00:00+07:00,36.22,100.0
2022-01-10 04:00:00+07:00,31.9,100.0
2022-01-10 05:00:00+07:00,33.11,100.0
2022-01-10 06:00:00+07:00,28.61,100.0
2022-01-10 07:00:00+07:00,33.01,100.0
2022-01-10 08:00:00+07:00,31.4,100.0
2022-01-10 09:00:00+07:00,28.45,100.0
2022-01-10 10:00:00+07:00,33.69,100.0
2022-01-10 11:00:00+07:00,35.8,100.0
2022-01-10 12:00:00+07:00,32.09,100.0
2022-01-10 13:00:00+07:00,31.05,100.0
2022-01-10 14:00:00+07:00,31.56,100.0
2022-01-10 15:00:00+07:00,32.5,100.0
2022-01-10 16:00:00+07:00,33.78,100.0
2022-01-10 17:00:00+07:00,33.59,100.0
2022-01-10 18:00:00+07:00,31.77,100.0
2022-01-10 19:00:00+07:00,34.74,100.0
2022-01-10 20:00:00+07:00,33.36,100.0
2022-01-10 21:00:00+07:00,32.22,100.0
2022-01-10 22:00:00+07:00,28.63,100.0
2022-01-10 23:00:00+07:00,33.01,100.0
2022-01-11 00:00:00+07:00,32.49,100.0
2022-01-11 01:00:00+07:00,32.97,100.0
2022-01-11 02:00:00+07:00,30.75,100.0
2022-01-11 03:00:00+07:00,28.81,100.0
2022-01-11 04:00:00+07:00,33.31,100.0
2022-01-11 05:00:00+07:00,31.3,100.0
2022-01-11 06:00:00+07:00,33.31,100.0
2022-01-11 07:00:00+07:00,35.2,100.0
2022-01-11 08:00:00+07:00,32.85,100.0
2022-01-11 09:00:00+07:00,32.84,100.0
2022-01-11 10:00:00+07:00,31.14,100.0
2022-01-11 11:00:00+07:00,32.83,100.0
2022-01-11 12:00:00+07:00,30.54,100.0
2022-01-11 13:00:00+07:00,30.37,100.0
2022-01-11 14:00:00+07:00,33.29,100.0
2022-01-11 15:00:00+07:00,32.72,100.0
2022-01-11 16:00:00+07:00,31.66,100.0
2022-01-11 17:00:00+07:00,30.09,100.0
2022-01-11 18:00:00+07:00,33.39,100.0
2022-01-11 19:00:00+07:00,32.36,100.0
2022-01-11 20:00:00+07:00,35.13,100.0
2022-01-11 21:00:00+07:00,32.19,100.0
2022-01-11 22:00:00+07:00,33.27,100.0
2022-01-11 23:00:00+07:00,33.9,100.0
2022-01-12 00:00:00+07:00,33.36,100.0
2022-01-12 01:00:00+07:00,33.59,100.0
2022-01-12 02:00:00+07:00,32.73,100.0
2022-01-12 03:00:00+07:00,33.74,100.0
2022-01-12 04:00:00+07:00,33.04,100.0
2022-01-12 05:00:00+07:00,30.28,100.0
2022-01-12 10:00:00+07:00,33.87,100.0
2022-01-12 11:00:00+07:00,34.43,100.0
2022-01-12 12:00:00+07:00,28.18,100.0
2022-01-12 13:00:00+07:00,30.16,100.0
2022-01-12 16:00:00+07:00,28.83,100.0
2022-01-12 17:00:00+07:00,39.14,100.0
2022-01-12 19:00:00+07:00,33.21,100.0
2022-01-12 20:00:00+07:00,31.35,100.0
2022-01-12 22:00:00+07:00,31.88,100.0
2022-01-12 23:00:00+07:00,33.36,100.0
2022-01-13 00:00:00+07:00,30.36,100.0
2022-01-13 01:00:00+07:00,36.67,100.0
2022-01-13 02:00:00+07:00,32.9,100.0
2022-01-13 03:00:00+07:00,33.65,100.0
2022-01-13 04:00:00+07:00,34.83,100.0
2022-01-13 05:00:00+07:00,32.46,100.0
2022-01-13 06:00:00+07:00,33.31,100.0
2022-01-13 07:00:00+07:00,32.52,100.0
2022-01-13 09:00:00+07:00,32.53,100.0
2022-01-13 10:00:00+07:00,31.08,100.0
2022-01-13 11:00:00+07:00,32.89,100.0
2022-01-13 13:00:00+07:00,32.71,100.0
2022-01-13 14:00:00+07:00,32.45,100.0
2022-01-13 16:00:00+07:00,32.96,100.0
2022-01-13 17:00:00+07:00,33.0,100.0
2022-01-13 18:00:00+07:00,32.37,100.0
2022-01-13 19:00:00+07:00,32.87,100.0
2022-01-13 20:00:00+07:00,35.3,100.0
2022-01-13 21:00:00+07:00,31.46,100.0
2022-01-13 22:00:00+07:00,29.27,100.0
2022-01-13 23:00:00+07:00,30.84,100.0
2022-01-14 00:00:00+07:00,33.63,100.0
2022-01-14 01:00:00+07:00,30.98,100.0
2022-01-14 02:00:00+07:00,33.06,100.0
2022-01-14 03:00:00+07:00,32.23,100.0
2022-01-14 04:00:00+07:00,34.27,100.0
2022-01-14 05:00:00+07:00,31.04,100.0
2022-01-14 06:00:00+07:00,31.67,100.0
2022-01-14 07:00:00+07:00,29.32,100.0
2022-01-14 12:00:00+07:00,32.22,100.0
2022-01-14 13:00:00+07:00,33.96,100.0
2022-01-14 14:00:00+07:00,30.59,100.0
2022-01-14 15:00:00+07:00,31.52,100.0
2022-01-14 16:00:00+07:00,33.78,100.0
2022-01-14 17:00:00+07:00,32.64,100.0
2022-01-14 18:00:00+07:00,30.56,100.0
2022-01-14 19:00:00+07:00,33.71,100.0
2022-01-14 20:00:00+07:00,33.4,100.0
2022-01-14 21:00:00+07:00,33.19,100.0
2022-01-14 22:00:00+07:00,32.87,100.0
