TimeStamp,NYA_DCS_G6710A_Rear_Bear_Temp,HEALTH
2022-01-09 10:00:00+07:00,88.47,100.0
2022-01-09 11:00:00+07:00,89.08,100.0
2022-01-09 12:00:00+07:00,89.6,100.0
2022-01-09 13:00:00+07:00,91.01,100.0
2022-01-09 14:00:00+07:00,93.97,100.0
2022-01-09 15:00:00+07:00,95.0,100.0
2022-01-09 16:00:00+07:00,95.0,100.0
2022-01-09 17:00:00+07:00,95.0,100.0
2022-01-09 18:00:00+07:00,93.2,100.0
2022-01-09 19:00:00+07:00,92.27,100.0
2022-01-09 20:00:00+07:00,91.4,100.0
2022-01-09 21:00:00+07:00,91.4,100.0
2022-01-09 22:00:00+07:00,90.02,100.0
2022-01-09 23:00:00+07:00,89.82,100.0
2022-01-10 00:00:00+07:00,89.6,100.0
2022-01-10 01:00:00+07:00,90.17,100.0
2022-01-10 02:00:00+07:00,91.27,100.0
2022-01-10 03:00:00+07:00,89.6,100.0
2022-01-10 04:00:00+07:00,87.25,100.0
2022-01-10 05:00:00+07:00,86.0,100.0
2022-01-10 06:00:00+07:00,87.51,100.0
2022-01-10 07:00:00+07:00,90.21,100.0
2022-01-10 08:00:00+07:00,91.48,100.0
2022-01-10 09:00:00+07:00,92.16,100.0
2022-01-10 10:00:00+07:00,89.6,100.0
2022-01-10 11:00:00+07:00,91.22,100.0
2022-01-10 12:00:00+07:00,93.2,100.0
2022-01-10 13:00:00+07:00,93.28,100.0
2022-01-10 14:00:00+07:00,92.56,100.0
2022-01-10 15:00:00+07:00,89.64,100.0
2022-01-10 16:00:00+07:00,89.6,100.0
2022-01-10 17:00:00+07:00,88.7,100.0
2022-01-10 18:00:00+07:00,89.42,100.0
2022-01-10 19:00:00+07:00,90.24,100.0
2022-01-10 20:00:00+07:00,91.4,100.0
2022-01-10 21:00:00+07:00,91.4,100.0
2022-01-10 22:00:00+07:00,91.4,100.0
2022-01-10 23:00:00+07:00,90.6,100.0
2022-01-11 00:00:00+07:00,87.44,100.0
2022-01-11 01:00:00+07:00,86.0,100.0
2022-01-11 02:00:00+07:00,87.93,100.0
2022-01-11 03:00:00+07:00,86.83,100.0
2022-01-11 04:00:00+07:00,86.24,100.0
2022-01-11 05:00:00+07:00,87.8,100.0
2022-01-11 06:00:00+07:00,87.8,100.0
2022-01-11 07:00:00+07:00,89.31,100.0
2022-01-11 08:00:00+07:00,89.69,100.0
2022-01-11 09:00:00+07:00,91.49,100.0
2022-01-11 10:00:00+07:00,93.18,100.0
2022-01-11 11:00:00+07:00,93.2,100.0
2022-01-11 12:00:00+07:00,92.15,100.0
2022-01-11 13:00:00+07:00,93.2,100.0
2022-01-11 14:00:00+07:00,93.2,100.0
2022-01-11 15:00:00+07:00,90.75,100.0
2022-01-11 16:00:00+07:00,92.51,100.0
