TimeStamp,AVG_ALL_CYLINDER,HEALTH
2022-01-09 09:00:00+07:00,895.93,100.0
2022-01-09 10:00:00+07:00,896.24,100.0
2022-01-09 11:00:00+07:00,897.74,100.0
2022-01-09 12:00:00+07:00,900.32,100.0
2022-01-09 13:00:00+07:00,861.28,0.0
2022-01-09 14:00:00+07:00,902.9,100.0
2022-01-09 15:00:00+07:00,905.96,100.0
2022-01-09 16:00:00+07:00,906.04,100.0
2022-01-09 17:00:00+07:00,904.5,100.0
2022-01-09 18:00:00+07:00,902.77,100.0
2022-01-09 19:00:00+07:00,904.86,100.0
2022-01-09 20:00:00+07:00,896.71,100.0
2022-01-09 21:00:00+07:00,899.69,100.0
2022-01-09 22:00:00+07:00,897.05,100.0
2022-01-09 23:00:00+07:00,898.11,100.0
2022-01-10 00:00:00+07:00,899.1,100.0
2022-01-10 01:00:00+07:00,900.13,100.0
2022-01-10 02:00:00+07:00,898.92,100.0
2022-01-10 03:00:00+07:00,896.66,100.0
2022-01-10 04:00:00+07:00,891.61,100.0
2022-01-10 05:00:00+07:00,890.66,100.0
2022-01-10 06:00:00+07:00,895.86,100.0
2022-01-10 07:00:00+07:00,898.69,100.0
2022-01-10 08:00:00+07:00,899.74,100.0
2022-01-10 09:00:00+07:00,899.73,100.0
2022-01-10 10:00:00+07:00,896.69,100.0
2022-01-10 11:00:00+07:00,900.87,100.0
2022-01-10 12:00:00+07:00,903.1,100.0
2022-01-10 13:00:00+07:00,903.4,100.0
2022-01-10 14:00:00+07:00,899.26,100.0
2022-01-10 15:00:00+07:00,897.18,100.0
2022-01-10 16:00:00+07:00,898.55,100.0
2022-01-10 17:00:00+07:00,896.22,100.0
2022-01-10 18:00:00+07:00,895.56,100.0
2022-01-10 19:00:00+07:00,898.13,100.0
2022-01-10 20:00:00+07:00,899.18,100.0
2022-01-10 21:00:00+07:00,900.92,100.0
2022-01-10 22:00:00+07:00,900.83,100.0
2022-01-10 23:00:00+07:00,896.21,100.0
2022-01-11 00:00:00+07:00,890.43,100.0
2022-01-11 01:00:00+07:00,889.54,100.0
2022-01-11 02:00:00+07:00,895.19,100.0
2022-01-11 03:00:00+07:00,890.31,100.0
2022-01-11 04:00:00+07:00,892.43,100.0
2022-01-11 05:00:00+07:00,894.7,100.0
2022-01-11 06:00:00+07:00,894.03,100.0
2022-01-11 07:00:00+07:00,896.04,100.0
2022-01-11 08:00:00+07:00,897.04,100.0
2022-01-11 09:00:00+07:00,899.54,100.0
2022-01-11 10:00:00+07:00,901.92,100.0
2022-01-11 11:00:00+07:00,902.84,100.0
2022-01-11 12:00:00+07:00,900.25,100.0
2022-01-11 13:00:00+07:00,901.37,100.0
2022-01-11 14:00:00+07:00,900.35,100.0
2022-01-11 15:00:00+07:00,896.77,100.0
2022-01-11 16:00:00+07:00,901.62,100.0
2022-01-11 17:00:00+07:00,901.42,100.0
2022-01-11 18:00:00+07:00,900.31,100.0
2022-01-11 19:00:00+07:00,897.95,100.0
2022-01-11 20:00:00+07:00,902.49,100.0
2022-01-11 21:00:00+07:00,901.24,100.0
2022-01-11 22:00:00+07:00,897.88,100.0
2022-01-11 23:00:00+07:00,890.98,100.0
2022-01-12 00:00:00+07:00,898.15,100.0
2022-01-12 01:00:00+07:00,898.37,100.0
2022-01-12 02:00:00+07:00,892.11,100.0
2022-01-12 03:00:00+07:00,891.75,100.0
2022-01-12 04:00:00+07:00,894.08,100.0
2022-01-12 05:00:00+07:00,897.05,100.0
2022-01-12 10:00:00+07:00,835.16,0.0
2022-01-12 11:00:00+07:00,905.39,100.0
2022-01-12 12:00:00+07:00,901.31,100.0
2022-01-12 13:00:00+07:00,891.31,100.0
2022-01-12 16:00:00+07:00,887.44,100.0
2022-01-12 17:00:00+07:00,885.16,100.0
2022-01-12 19:00:00+07:00,880.9,100.0
2022-01-12 20:00:00+07:00,883.57,100.0
2022-01-12 22:00:00+07:00,880.37,100.0
2022-01-12 23:00:00+07:00,879.27,100.0
2022-01-13 00:00:00+07:00,876.6,100.0
2022-01-13 01:00:00+07:00,873.26,100.0
2022-01-13 02:00:00+07:00,869.32,100.0
2022-01-13 03:00:00+07:00,866.82,100.0
2022-01-13 04:00:00+07:00,863.86,0.0
2022-01-13 05:00:00+07:00,869.33,100.0
2022-01-13 06:00:00+07:00,869.18,100.0
2022-01-13 07:00:00+07:00,863.23,0.0
2022-01-13 09:00:00+07:00,865.85,0.0
2022-01-13 10:00:00+07:00,866.27,100.0
2022-01-13 11:00:00+07:00,867.59,100.0
2022-01-13 13:00:00+07:00,870.33,100.0
2022-01-13 14:00:00+07:00,870.66,100.0
2022-01-13 16:00:00+07:00,870.64,100.0
2022-01-13 17:00:00+07:00,869.64,100.0
2022-01-13 18:00:00+07:00,868.87,100.0
2022-01-13 19:00:00+07:00,871.78,100.0
2022-01-13 20:00:00+07:00,871.65,100.0
2022-01-13 21:00:00+07:00,871.24,100.0
2022-01-13 22:00:00+07:00,873.09,100.0
2022-01-13 23:00:00+07:00,870.62,100.0
2022-01-14 00:00:00+07:00,870.77,100.0
2022-01-14 01:00:00+07:00,869.03,100.0
2022-01-14 02:00:00+07:00,867.76,100.0
2022-01-14 03:00:00+07:00,866.02,0.0
2022-01-14 04:00:00+07:00,867.49,100.0
2022-01-14 05:00:00+07:00,864.75,0.0
2022-01-14 06:00:00+07:00,862.2,0.0
2022-01-14 07:00:00+07:00,861.76,0.0
2022-01-14 12:00:00+07:00,872.09,100.0
2022-01-14 13:00:00+07:00,867.47,100.0
2022-01-14 14:00:00+07:00,869.98,100.0
2022-01-14 15:00:00+07:00,868.45,100.0
2022-01-14 16:00:00+07:00,868.32,100.0
2022-01-14 17:00:00+07:00,866.98,100.0
2022-01-14 18:00:00+07:00,867.32,100.0
2022-01-14 19:00:00+07:00,869.44,100.0
2022-01-14 20:00:00+07:00,869.83,100.0
2022-01-14 21:00:00+07:00,869.96,100.0
2022-01-14 22:00:00+07:00,869.03,100.0
2022-01-14 23:00:00+07:00,867.67,100.0
2022-01-15 00:00:00+07:00,868.31,100.0
2022-01-15 02:00:00+07:00,868.33,100.0
2022-01-15 03:00:00+07:00,867.33,100.0
2022-01-15 04:00:00+07:00,866.47,100.0
2022-01-15 05:00:00+07:00,866.91,100.0
2022-01-15 06:00:00+07:00,866.13,100.0
2022-01-15 07:00:00+07:00,864.89,0.0
2022-01-15 08:00:00+07:00,867.07,100.0
2022-01-15 09:00:00+07:00,866.65,100.0
2022-01-15 10:00:00+07:00,867.38,100.0
2022-01-15 11:00:00+07:00,869.75,100.0
2022-01-15 12:00:00+07:00,870.33,100.0
2022-01-15 13:00:00+07:00,871.24,100.0
2022-01-15 14:00:00+07:00,873.01,100.0
2022-01-15 16:00:00+07:00,873.66,100.0
2022-01-15 18:00:00+07:00,869.88,100.0
2022-01-15 20:00:00+07:00,866.9,100.0
2022-01-15 21:00:00+07:00,867.52,100.0
2022-01-15 22:00:00+07:00,866.91,100.0
2022-01-15 23:00:00+07:00,867.3,100.0
2022-01-16 00:00:00+07:00,867.72,100.0
2022-01-16 01:00:00+07:00,867.12,100.0
2022-01-16 02:00:00+07:00,866.53,100.0
2022-01-16 05:00:00+07:00,867.11,100.0
2022-01-16 06:00:00+07:00,867.19,100.0
2022-01-16 09:00:00+07:00,868.16,100.0
2022-01-16 10:00:00+07:00,868.98,100.0
2022-01-16 11:00:00+07:00,868.71,100.0
2022-01-16 13:00:00+07:00,869.86,100.0
2022-01-16 15:00:00+07:00,871.72,100.0
2022-01-16 16:00:00+07:00,872.53,100.0
2022-01-16 18:00:00+07:00,869.01,100.0
2022-01-16 19:00:00+07:00,868.25,100.0
2022-01-16 20:00:00+07:00,867.83,100.0
2022-01-16 21:00:00+07:00,866.25,100.0
2022-01-16 23:00:00+07:00,865.45,0.0
2022-01-17 01:00:00+07:00,866.67,100.0
2022-01-17 04:00:00+07:00,867.1,100.0
2022-01-17 05:00:00+07:00,866.01,0.0
2022-01-17 06:00:00+07:00,865.12,0.0
2022-01-17 07:00:00+07:00,865.61,0.0
2022-01-17 08:00:00+07:00,861.89,0.0
2022-01-17 09:00:00+07:00,860.86,0.0
2022-01-17 10:00:00+07:00,861.19,0.0
2022-01-17 11:00:00+07:00,862.17,0.0
2022-01-17 12:00:00+07:00,862.55,0.0
2022-01-17 13:00:00+07:00,864.1,0.0
2022-01-17 17:00:00+07:00,869.8,100.0
2022-01-17 19:00:00+07:00,867.63,100.0
2022-01-17 20:00:00+07:00,867.96,100.0
2022-01-17 21:00:00+07:00,867.36,100.0
2022-01-17 22:00:00+07:00,866.49,100.0
2022-01-17 23:00:00+07:00,866.55,100.0
2022-01-18 01:00:00+07:00,859.59,0.0
2022-01-18 02:00:00+07:00,859.61,0.0
2022-01-18 04:00:00+07:00,859.35,0.0
2022-01-18 05:00:00+07:00,857.19,0.0
2022-01-18 06:00:00+07:00,859.79,0.0
2022-01-18 07:00:00+07:00,866.93,100.0
2022-01-18 08:00:00+07:00,862.27,0.0
2022-01-18 09:00:00+07:00,863.18,0.0
