TimeStamp,NYA_DCS_G6710A_CoolantTemp_RB,NYA_DCS_G6710A_OilTemp,CLUSTER,OVER_BY,HEALTH
2022-01-06 05:00:00+07:00,181.4,181.89,1,0.0,100.0
2022-01-06 06:00:00+07:00,182.02,182.13,1,0.0,100.0
2022-01-06 07:00:00+07:00,182.92,182.97,1,0.0,100.0
2022-01-06 08:00:00+07:00,183.78,183.96,1,0.0,100.0
2022-01-06 09:00:00+07:00,182.27,182.84,1,0.0,100.0
2022-01-06 10:00:00+07:00,182.19,182.61,1,0.0,100.0
2022-01-06 11:00:00+07:00,178.01,179.27,1,0.0,100.0
2022-01-06 12:00:00+07:00,177.8,178.74,1,0.0,100.0
2022-01-06 13:00:00+07:00,178.04,179.21,1,0.0,100.0
2022-01-06 14:00:00+07:00,177.44,178.65,1,0.0,100.0
2022-01-06 15:00:00+07:00,180.87,181.05,1,0.0,100.0
2022-01-06 16:00:00+07:00,186.1,185.76,1,0.0,100.0
2022-01-06 17:00:00+07:00,185.0,185.38,1,0.0,100.0
2022-01-06 18:00:00+07:00,184.94,184.84,1,0.0,100.0
2022-01-06 19:00:00+07:00,185.0,184.76,1,0.0,100.0
2022-01-06 20:00:00+07:00,185.0,185.18,1,0.0,100.0
2022-01-06 21:00:00+07:00,184.9,184.66,1,0.0,100.0
2022-01-06 22:00:00+07:00,184.07,184.16,1,0.0,100.0
2022-01-06 23:00:00+07:00,185.0,184.53,1,0.0,100.0
2022-01-07 00:00:00+07:00,185.0,184.68,1,0.0,100.0
2022-01-07 01:00:00+07:00,185.0,184.74,1,0.0,100.0
2022-01-07 02:00:00+07:00,185.0,184.99,1,0.0,100.0
2022-01-07 03:00:00+07:00,185.0,185.17,1,0.0,100.0
2022-01-07 04:00:00+07:00,185.0,185.25,1,0.0,100.0
2022-01-07 05:00:00+07:00,185.0,185.08,1,0.0,100.0
2022-01-07 06:00:00+07:00,185.29,185.41,1,0.0,100.0
2022-01-07 07:00:00+07:00,185.93,185.43,1,0.0,100.0
2022-01-07 08:00:00+07:00,186.74,186.09,1,0.0,100.0
2022-01-07 09:00:00+07:00,186.8,186.44,1,0.0,100.0
2022-01-07 10:00:00+07:00,186.8,186.41,1,0.0,100.0
2022-01-07 11:00:00+07:00,186.8,186.72,1,0.0,100.0
2022-01-07 13:00:00+07:00,186.88,186.87,1,0.0,100.0
2022-01-07 14:00:00+07:00,186.8,186.63,1,0.0,100.0
2022-01-07 15:00:00+07:00,186.8,186.43,1,0.0,100.0
2022-01-07 16:00:00+07:00,186.8,186.65,1,0.0,100.0
2022-01-07 17:00:00+07:00,186.2,185.89,1,0.0,100.0
2022-01-07 18:00:00+07:00,185.0,184.94,1,0.0,100.0
2022-01-07 19:00:00+07:00,185.0,184.72,1,0.0,100.0
2022-01-07 20:00:00+07:00,184.61,184.54,1,0.0,100.0
2022-01-07 21:00:00+07:00,184.27,184.32,1,0.0,100.0
2022-01-07 22:00:00+07:00,184.98,184.66,1,0.0,100.0
2022-01-07 23:00:00+07:00,185.0,184.9,1,0.0,100.0
2022-01-08 00:00:00+07:00,184.98,184.81,1,0.0,100.0
2022-01-08 01:00:00+07:00,184.95,184.73,1,0.0,100.0
2022-01-08 02:00:00+07:00,184.72,184.54,1,0.0,100.0
2022-01-08 03:00:00+07:00,185.0,184.54,1,0.0,100.0
2022-01-08 04:00:00+07:00,185.0,184.79,1,0.0,100.0
2022-01-08 05:00:00+07:00,185.0,184.83,1,0.0,100.0
2022-01-08 06:00:00+07:00,183.98,184.13,1,0.0,100.0
2022-01-08 07:00:00+07:00,183.64,184.03,1,0.0,100.0
2022-01-08 08:00:00+07:00,183.65,183.69,1,0.0,100.0
2022-01-08 09:00:00+07:00,183.2,183.56,1,0.0,100.0
2022-01-08 10:00:00+07:00,183.15,183.2,1,0.0,100.0
2022-01-08 11:00:00+07:00,183.24,183.58,1,0.0,100.0
2022-01-08 12:00:00+07:00,184.5,184.54,1,0.0,100.0
