TimeStamp,NYA_DCS_G6710A_OilPressure,HEALTH
2022-01-12 05:00:00+07:00,61.73,100.0
2022-01-12 10:00:00+07:00,62.65,100.0
2022-01-12 11:00:00+07:00,61.67,100.0
2022-01-12 12:00:00+07:00,61.33,100.0
2022-01-12 13:00:00+07:00,61.66,100.0
2022-01-12 16:00:00+07:00,61.59,100.0
2022-01-12 17:00:00+07:00,61.79,100.0
2022-01-12 19:00:00+07:00,62.0,100.0
2022-01-12 20:00:00+07:00,61.94,100.0
2022-01-12 22:00:00+07:00,61.84,100.0
2022-01-12 23:00:00+07:00,61.75,100.0
2022-01-13 00:00:00+07:00,61.64,100.0
2022-01-13 01:00:00+07:00,61.5,100.0
2022-01-13 02:00:00+07:00,61.5,100.0
2022-01-13 03:00:00+07:00,61.49,100.0
2022-01-13 04:00:00+07:00,61.53,100.0
2022-01-13 05:00:00+07:00,61.14,100.0
2022-01-13 06:00:00+07:00,61.04,100.0
2022-01-13 07:00:00+07:00,61.13,100.0
2022-01-13 09:00:00+07:00,60.44,100.0
2022-01-13 10:00:00+07:00,60.61,100.0
2022-01-13 11:00:00+07:00,60.38,100.0
2022-01-13 13:00:00+07:00,60.21,100.0
2022-01-13 14:00:00+07:00,60.33,100.0
2022-01-13 16:00:00+07:00,60.29,100.0
2022-01-13 17:00:00+07:00,60.28,100.0
2022-01-13 18:00:00+07:00,60.45,100.0
2022-01-13 19:00:00+07:00,60.34,100.0
2022-01-13 20:00:00+07:00,60.31,100.0
2022-01-13 21:00:00+07:00,60.32,100.0
2022-01-13 22:00:00+07:00,60.08,100.0
2022-01-13 23:00:00+07:00,60.29,100.0
2022-01-14 00:00:00+07:00,60.3,100.0
2022-01-14 01:00:00+07:00,60.28,100.0
2022-01-14 02:00:00+07:00,60.32,100.0
2022-01-14 03:00:00+07:00,60.33,100.0
2022-01-14 04:00:00+07:00,60.34,100.0
2022-01-14 05:00:00+07:00,60.47,100.0
2022-01-14 06:00:00+07:00,60.86,100.0
2022-01-14 07:00:00+07:00,60.69,100.0
2022-01-14 12:00:00+07:00,60.16,100.0
2022-01-14 13:00:00+07:00,60.34,100.0
2022-01-14 14:00:00+07:00,60.17,100.0
2022-01-14 15:00:00+07:00,60.39,100.0
2022-01-14 16:00:00+07:00,60.41,100.0
2022-01-14 17:00:00+07:00,60.63,100.0
2022-01-14 18:00:00+07:00,60.44,100.0
2022-01-14 19:00:00+07:00,60.34,100.0
2022-01-14 20:00:00+07:00,60.34,100.0
2022-01-14 21:00:00+07:00,60.34,100.0
2022-01-14 22:00:00+07:00,60.34,100.0
2022-01-14 23:00:00+07:00,60.34,100.0
2022-01-15 00:00:00+07:00,60.34,100.0
2022-01-15 02:00:00+07:00,60.34,100.0
2022-01-15 03:00:00+07:00,60.34,100.0
2022-01-15 04:00:00+07:00,60.38,100.0
2022-01-15 05:00:00+07:00,60.36,100.0
2022-01-15 06:00:00+07:00,60.41,100.0
2022-01-15 07:00:00+07:00,60.47,100.0
2022-01-15 08:00:00+07:00,60.34,100.0
2022-01-15 09:00:00+07:00,60.34,100.0
2022-01-15 10:00:00+07:00,60.34,100.0
2022-01-15 11:00:00+07:00,60.17,100.0
2022-01-15 12:00:00+07:00,60.01,100.0
2022-01-15 13:00:00+07:00,59.84,100.0
2022-01-15 14:00:00+07:00,59.88,100.0
2022-01-15 16:00:00+07:00,59.84,100.0
2022-01-15 18:00:00+07:00,60.33,100.0
2022-01-15 20:00:00+07:00,60.34,100.0
2022-01-15 21:00:00+07:00,60.34,100.0
2022-01-15 22:00:00+07:00,60.32,100.0
2022-01-15 23:00:00+07:00,60.34,100.0
2022-01-16 00:00:00+07:00,60.34,100.0
2022-01-16 01:00:00+07:00,60.34,100.0
2022-01-16 02:00:00+07:00,60.34,100.0
2022-01-16 05:00:00+07:00,60.34,100.0
2022-01-16 06:00:00+07:00,60.34,100.0
2022-01-16 09:00:00+07:00,60.31,100.0
2022-01-16 10:00:00+07:00,60.3,100.0
2022-01-16 11:00:00+07:00,60.3,100.0
2022-01-16 13:00:00+07:00,59.98,100.0
2022-01-16 15:00:00+07:00,59.99,100.0
2022-01-16 16:00:00+07:00,59.83,100.0
2022-01-16 18:00:00+07:00,60.33,100.0
2022-01-16 19:00:00+07:00,60.34,100.0
2022-01-16 20:00:00+07:00,60.34,100.0
2022-01-16 21:00:00+07:00,60.34,100.0
2022-01-16 23:00:00+07:00,60.34,100.0
2022-01-17 01:00:00+07:00,60.34,100.0
2022-01-17 04:00:00+07:00,60.34,100.0
2022-01-17 05:00:00+07:00,60.34,100.0
2022-01-17 06:00:00+07:00,60.44,100.0
2022-01-17 07:00:00+07:00,60.4,100.0
2022-01-17 08:00:00+07:00,60.53,100.0
2022-01-17 09:00:00+07:00,60.38,100.0
2022-01-17 10:00:00+07:00,60.34,100.0
2022-01-17 11:00:00+07:00,60.34,100.0
2022-01-17 12:00:00+07:00,60.31,100.0
2022-01-17 13:00:00+07:00,60.2,100.0
2022-01-17 17:00:00+07:00,59.77,100.0
2022-01-17 19:00:00+07:00,60.04,100.0
2022-01-17 20:00:00+07:00,60.07,100.0
2022-01-17 21:00:00+07:00,60.13,100.0
2022-01-17 22:00:00+07:00,60.14,100.0
2022-01-17 23:00:00+07:00,60.31,100.0
2022-01-18 01:00:00+07:00,60.64,100.0
2022-01-18 02:00:00+07:00,60.58,100.0
2022-01-18 04:00:00+07:00,60.58,100.0
2022-01-18 05:00:00+07:00,60.72,100.0
2022-01-18 06:00:00+07:00,60.49,100.0
2022-01-18 07:00:00+07:00,60.06,100.0
2022-01-18 08:00:00+07:00,59.99,100.0
2022-01-18 09:00:00+07:00,60.0,100.0
2022-01-18 10:00:00+07:00,60.11,100.0
2022-01-18 11:00:00+07:00,60.03,100.0
2022-01-18 14:00:00+07:00,59.89,100.0
2022-01-18 18:00:00+07:00,59.95,100.0
2022-01-18 19:00:00+07:00,60.02,100.0
2022-01-18 20:00:00+07:00,60.34,100.0
2022-01-18 22:00:00+07:00,60.33,100.0
2022-01-18 23:00:00+07:00,60.69,100.0
2022-01-19 00:00:00+07:00,60.93,100.0
2022-01-19 01:00:00+07:00,61.16,100.0
