TimeStamp,PLANT LOAD,1-CTA.2M.1FC1101.PV,,,
5/19/2015 7:30,99.89207129,36.96006638,,,
5/19/2015 7:32,100.1300189,37.04810698,,,
5/19/2015 7:34,99.94185869,36.97848771,,,
5/19/2015 7:36,99.78779975,36.92148591,,,
5/19/2015 7:38,99.89326145,36.96050674,,,
5/19/2015 7:40,99.87868596,36.95511381,,,
5/19/2015 7:42,99.93266489,36.97508601,,,
5/19/2015 7:44,99.89729211,36.96199808,,,
5/19/2015 7:46,99.91478004,36.96846861,,,
5/19/2015 7:48,99.90430183,36.96459168,,,
5/19/2015 7:50,99.82465832,36.93512358,,,
5/19/2015 7:52,99.86766423,36.95103577,,,
5/19/2015 7:54,100.0516105,37.01909589,,,
5/19/2015 7:56,99.93995665,36.97778396,,,
5/19/2015 7:58,99.70986864,36.8926514,,,
5/19/2015 8:00,100.001402,37.00051874,,,
5/19/2015 8:02,99.96291662,36.98627915,,,
5/19/2015 8:04,99.92204349,36.97115609,,,
5/19/2015 8:06,100.0296258,37.01096153,,,
5/19/2015 8:08,99.98361707,36.99393832,,,
5/19/2015 8:10,99.96795623,36.9881438,,,
5/19/2015 8:12,99.9147616,36.96846179,,,
5/19/2015 8:14,99.91768078,36.96954189,,,
5/19/2015 8:16,99.93177095,36.97475525,,,
5/19/2015 8:18,99.95420977,36.98305762,,,
5/19/2015 8:20,100.0225853,37.00835658,,,
5/19/2015 8:22,99.92978316,36.97401977,,,
5/19/2015 8:24,99.86084909,36.94851416,,,
5/19/2015 8:26,99.83183198,36.93777783,,,
5/19/2015 8:28,99.91543498,36.96871094,,,
5/19/2015 8:30,99.80697897,36.92858222,,,
5/19/2015 8:32,100.1186553,37.04390246,,,
5/19/2015 8:34,100.0891894,37.03300008,,,
5/19/2015 8:36,99.87936652,36.95536561,,,
5/19/2015 8:38,99.96291776,36.98627957,,,
5/19/2015 8:40,100.2201089,37.08144028,,,
5/19/2015 8:42,100.1336356,37.04944517,,,
5/19/2015 8:44,99.96072422,36.98546796,,,
5/19/2015 8:46,99.82224068,36.93422905,,,
5/19/2015 8:48,99.85572279,36.94661743,,,
5/19/2015 8:50,99.93753935,36.97688956,,,
5/19/2015 8:52,100.1344293,37.04973882,,,
5/19/2015 8:54,99.98186695,36.99329077,,,
5/19/2015 8:56,99.99404511,36.99779669,,,
5/19/2015 8:58,100.1093383,37.04045517,,,
5/19/2015 9:00,100.0655192,37.02424209,,,
5/19/2015 9:02,100.1107881,37.0409916,,,
5/19/2015 9:04,100.1842868,37.06818612,,,
5/19/2015 9:06,100.0864594,37.03198999,,,
5/19/2015 9:08,99.98025492,36.99269432,,,
5/19/2015 9:10,99.93952519,36.97762432,,,
5/19/2015 9:12,99.87852998,36.95505609,,,
5/19/2015 9:14,99.95437811,36.9831199,,,
5/19/2015 9:16,99.90406043,36.96450236,,,
5/19/2015 9:18,100.081485,37.03014947,,,
5/19/2015 9:20,100.1213932,37.04491548,,,
5/19/2015 9:22,100.0582465,37.02155122,,,
5/19/2015 9:24,100.0653101,37.02416473,,,
5/19/2015 9:26,100.0179654,37.00664721,,,
5/19/2015 9:28,100.005592,37.00206905,,,
5/19/2015 9:30,99.97722284,36.99157245,,,
5/19/2015 9:32,99.96683369,36.98772847,,,
5/19/2015 9:34,99.99020478,36.99637577,,,
5/19/2015 9:36,100.0526652,37.01948613,,,
5/19/2015 9:38,100.0021275,37.00078717,,,
5/19/2015 9:40,100.0063077,37.00233383,,,
5/19/2015 9:42,99.97323734,36.99009782,,,
5/19/2015 9:44,99.98589219,36.99478011,,,
5/19/2015 9:46,100.0559907,37.02071656,,,
5/19/2015 9:48,100.1386765,37.05131031,,,
5/19/2015 9:50,100.1413343,37.05229371,,,
5/19/2015 9:52,100.0600846,37.02223131,,,
5/19/2015 9:54,99.89311269,36.9604517,,,
5/19/2015 9:56,100.0153667,37.00568569,,,
5/19/2015 9:58,100.1219236,37.04511175,,,
5/19/2015 10:00,99.98558872,36.99466783,,,
5/19/2015 10:02,99.97470084,36.99063931,,,
5/19/2015 10:04,100.016323,37.00603952,,,
5/19/2015 10:06,100.0725796,37.02685444,,,
5/19/2015 10:08,99.91361402,36.96803719,,,
5/19/2015 10:10,99.92396672,36.97186769,,,
5/19/2015 10:12,99.85285251,36.94555543,,,
5/19/2015 10:14,100.0929751,37.03440077,,,
5/19/2015 10:16,100.1795269,37.06642494,,,
5/19/2015 10:18,100.0216713,37.00801836,,,
5/19/2015 10:20,99.79452785,36.9239753,,,
5/19/2015 10:22,99.91912138,36.97007491,,,
5/19/2015 10:24,99.91165663,36.96731295,,,
5/19/2015 10:26,100.0107325,37.00397101,,,
5/19/2015 10:28,99.94087225,36.97812273,,,
5/19/2015 10:30,99.87354306,36.95321093,,,
5/19/2015 10:32,99.98368212,36.99396238,,,
5/19/2015 10:34,99.99762382,36.99912081,,,
5/19/2015 10:36,99.95600724,36.98372268,,,
5/19/2015 10:38,99.99768783,36.9991445,,,
5/19/2015 10:40,99.99776744,36.99917395,,,
5/19/2015 10:42,100.0778742,37.02881344,,,
5/19/2015 10:44,99.94133714,36.97829474,,,
5/19/2015 10:46,99.88010498,36.95563884,,,
5/19/2015 10:48,99.98551504,36.99464056,,,
5/19/2015 10:50,100.0015397,37.00056968,,,
5/19/2015 10:52,100.0479421,37.01773859,,,
5/19/2015 10:54,99.97379487,36.9903041,,,
5/19/2015 10:56,100.0018811,37.00069599,,,
5/19/2015 10:58,100.011121,37.00411478,,,
5/19/2015 11:00,100.1514606,37.05604044,,,
5/19/2015 11:02,100.1866469,37.06905935,,,
5/19/2015 11:04,100.1110638,37.04109361,,,
5/19/2015 11:06,99.91045448,36.96686816,,,
5/19/2015 11:08,99.96657725,36.98763358,,,
5/19/2015 11:10,99.95419905,36.98305365,,,
5/19/2015 11:12,99.99042447,36.99645706,,,
5/19/2015 11:14,99.94413407,36.97932961,,,
5/19/2015 11:16,100.051292,37.01897802,,,
5/19/2015 11:18,99.87569882,36.95400856,,,
5/19/2015 11:20,99.98155519,36.99317542,,,
5/19/2015 11:22,100.0312337,37.01155647,,,
5/19/2015 11:24,100.0762365,37.0282075,,,
5/19/2015 11:26,100.0692006,37.02560421,,,
5/19/2015 11:28,100.0938559,37.03472667,,,
5/19/2015 11:30,100.0421654,37.0156012,,,
5/19/2015 11:32,100.0291207,37.01077467,,,
5/19/2015 11:34,99.94947227,36.98130474,,,
5/19/2015 11:36,100.0332527,37.0123035,,,
5/19/2015 11:38,99.95915714,36.98488814,,,
5/19/2015 11:40,100.0045524,37.00168439,,,
5/19/2015 11:42,99.95459599,36.98320051,,,
5/19/2015 11:44,99.93801669,36.97706618,,,
5/19/2015 11:46,99.91499817,36.96854932,,,
5/19/2015 11:48,99.96423126,36.98676557,,,
5/19/2015 11:50,99.96974988,36.98880746,,,
5/19/2015 11:52,99.85048134,36.9446781,,,
5/19/2015 11:54,99.94942115,36.98128582,,,
5/19/2015 11:56,99.88218295,36.95640769,,,
5/19/2015 11:58,100.0144847,37.00535932,,,
5/19/2015 12:00,100.0333082,37.01232402,,,
5/19/2015 12:02,99.94367862,36.97916109,,,
5/19/2015 12:04,99.91359625,36.96803061,,,
5/19/2015 12:06,99.85380885,36.94590927,,,
5/19/2015 12:08,99.93271206,36.97510346,,,
5/19/2015 12:10,99.84579216,36.9429431,,,
5/19/2015 12:12,99.86338177,36.94945125,,,
5/19/2015 12:14,100.0685316,37.02535669,,,
5/19/2015 12:16,100.0083718,37.00309758,,,
5/19/2015 12:18,99.95667097,36.98396826,,,
5/19/2015 12:20,100.0034251,37.00126728,,,
5/19/2015 12:22,100.0128315,37.00474766,,,
5/19/2015 12:24,99.88896644,36.95891758,,,
5/19/2015 12:26,100.044788,37.01657156,,,
5/19/2015 12:28,100.0930507,37.03442876,,,
5/19/2015 12:30,99.96608636,36.98745195,,,
5/19/2015 12:32,99.87650845,36.95430813,,,
5/19/2015 12:34,99.88289798,36.95667225,,,
5/19/2015 12:36,99.84339997,36.94205799,,,
5/19/2015 12:38,99.92626171,36.97271683,,,
5/19/2015 12:40,99.94173543,36.97844211,,,
5/19/2015 12:42,99.83120157,36.93754458,,,
5/19/2015 12:44,99.83024401,36.93719028,,,
5/19/2015 12:46,99.97723796,36.99157804,,,
5/19/2015 12:48,100.1330008,37.0492103,,,
5/19/2015 12:50,100.0986192,37.03648909,,,
5/19/2015 12:52,99.861665,36.94881605,,,
5/19/2015 12:54,99.95066896,36.98174751,,,
5/19/2015 12:56,99.90200597,36.96374221,,,
5/19/2015 12:58,100.0074301,37.00274915,,,
5/19/2015 13:00,100.0377455,37.01396582,,,
5/19/2015 13:02,99.90804705,36.96597741,,,
5/19/2015 13:04,99.91207974,36.96746951,,,
5/19/2015 13:06,99.72248437,36.89731922,,,
5/19/2015 13:08,99.69103656,36.88568353,,,
5/19/2015 13:10,99.58783499,36.84749895,,,
5/19/2015 13:12,99.49916414,36.81469073,,,
5/19/2015 13:14,99.33194537,36.75281979,,,
5/19/2015 13:16,99.38796182,36.77354587,,,
5/19/2015 13:18,99.24821626,36.72184001,,,
5/19/2015 13:20,99.30731337,36.74370595,,,
5/19/2015 13:22,99.12827384,36.67746132,,,
