TimeStamp,786PI521,786PI522
5/1/2020 15:30,28.80000114,32.70000076
5/1/2020 15:35,28.80000496,32.70000076
5/1/2020 15:40,28.89999962,32.70000076
5/1/2020 15:45,28.89999962,32.70000076
5/1/2020 15:50,28.89999962,32.70000076
5/1/2020 15:55,28.89999962,32.70000076
5/1/2020 16:00,28.89999962,32.70000076
5/1/2020 16:05,28.89999962,32.70000076
5/1/2020 16:10,28.89999962,32.70000076
5/1/2020 16:15,28.89999962,32.70000076
5/1/2020 16:20,28.89999962,32.79999924
5/1/2020 16:25,28.89999962,32.79999924
5/1/2020 16:30,28.89999962,32.89521408
5/1/2020 16:35,28.89999962,32.89999771
5/1/2020 16:40,28.89999962,32.89999771
5/1/2020 16:45,28.89999962,32.89999771
5/1/2020 16:50,28.89999962,32.89999771
5/1/2020 16:55,28.89999962,32.89999771
5/1/2020 17:00,28.89999962,32.89999771
5/1/2020 17:05,28.89999962,32.89999771
5/1/2020 17:10,28.89999962,32.90000153
5/1/2020 17:15,28.89999962,32.90000153
5/1/2020 17:20,28.89999962,32.90000153
5/1/2020 17:25,28.89999962,32.90000153
5/1/2020 17:30,28.89999962,32.90000153
5/1/2020 17:35,28.89999962,32.90000153
5/1/2020 17:40,28.89999962,32.90000153
5/1/2020 17:45,28.89999962,32.90000153
5/1/2020 17:50,28.89999962,32.90000153
5/1/2020 17:55,28.89999962,32.90000153
5/1/2020 18:00,28.89999962,32.90000153
5/1/2020 18:05,28.89999962,32.89999771
5/1/2020 18:10,28.89999962,32.80000305
5/1/2020 18:15,28.89999962,32.80000305
5/1/2020 18:20,28.89999962,32.80000305
5/1/2020 18:25,28.89999962,32.80000305
5/1/2020 18:30,28.89999962,32.70009613
5/1/2020 18:35,28.89999962,32.70000076
5/1/2020 18:40,28.89999962,32.70000076
5/1/2020 18:45,28.89999962,32.70000076
5/1/2020 18:50,28.89999962,32.70000076
5/1/2020 18:55,28.89999962,32.70000076
5/1/2020 19:00,28.89999962,32.60000229
5/1/2020 19:05,28.89999962,32.60000229
5/1/2020 19:10,28.89999962,32.60000229
5/1/2020 19:15,28.89999962,32.60000229
